ProductId,ProductCategory,ProductTitle,ProductReference,ProductPrice,ProductImageUrl
3810,Make-up/Eyelash accessories,b'Eyelash comb',Art. nr 4446,9.99,http://donegal.com.pl/2873-large_default/4446.jpg
3797,Make-up/Eyelash accessories,b'Tweezers for false eyelashes',Art. nr 4118,7.19,http://donegal.com.pl/2816-large_default/4118.jpg
3032,Make-up/Eyelash accessories,b'Eyelash curler BEAUTY CARE',Art. nr 4445,7.59,http://donegal.com.pl/1319-large_default/zalotka-do-rzes-beauty-care.jpg
1249,Make-up/Eyelash accessories,b'Eyelash curler',Art. nr 1038,7.79,http://donegal.com.pl/643-large_default/zalotka-do-rzes.jpg
3645,Make-up/Eyelash accessories,b'Eyelash brush 3 pieces',Art. nr 4052,3.39,http://donegal.com.pl/1230-large_default/grzebyk-do-sztucznych-rzes-3szt.jpg
1247,Make-up/Eyelash accessories,b'Eyelash comb',Art. nr 1035,2.29,http://donegal.com.pl/1134-large_default/grzebyk-szczoteczka-do-rzes.jpg
1259,Make-up/Eyelash accessories,b'Eyelash extension glue 5 g',Art. nr 9354,12.19,http://donegal.com.pl/2333-large_default/klej-do-rzes-5g-zel-transparentny.jpg
1258,Make-up/Eyelash accessories,b'Eyelash extension glue 7 g',Art. nr 9150,11.29,http://donegal.com.pl/2334-large_default/klej-do-rzes-7g-czarny.jpg

1271,Make-up/Applicators,b'Eyeshadow applicators 6 pcs',Art. nr 9946,4.79,http://donegal.com.pl/2335-large_default/aplikatory-do-cieni-6szt.jpg
1270,Make-up/Applicators,b'Eyeshadow applicators 6 pcs',Art. nr 9944,6.19,http://donegal.com.pl/2336-large_default/aplikatory-do-cieni-6szt.jpg
1261,Make-up/Applicators,b'Eyeshadow applicators 2 pcs',Art. nr 1039,3.99,http://donegal.com.pl/2337-large_default/aplikatory-do-cieni-2szt.jpg
1264,Make-up/Applicators,b'Eyeshadow applicators 25 pcs',Art. nr 1064,10.79,http://donegal.com.pl/2338-large_default/aplikatory-do-cieni-25szt.jpg
1267,Make-up/Applicators,b'Eyeshadow applicators with brush 2 pcs',Art. nr 9259,3.99,http://donegal.com.pl/2339-large_default/aplikatory-z-pedzelkami-2szt.jpg
2411,Make-up/Applicators,b'Eyeshadow applicators with brush 6 pcs',Art. nr 4024,7.99,http://donegal.com.pl/1668-large_default/aplikator-z-pedzelkiem-6szt.jpg
1263,Make-up/Applicators,b'Eyeshadow applicator',Art. nr 1057,2.39,http://donegal.com.pl/2852-large_default/aplikator-do-cieni.jpg
3233,Make-up/Applicators,b'Eyeshadow applicators 6 pcs',Art. nr 4040,5.99,http://donegal.com.pl/1032-large_default/aplikator-kosmetyczny-do-cieni-lateksowy-prettiness-6szt.jpg

3718,Make-up/Eyelid glitters,b'Green glitter',Art. nr 3503/07,6.39,http://donegal.com.pl/2263-large_default/3503-07.jpg
3717,Make-up/Eyelid glitters,b'Cherry glitter',Art. nr 3502/08,6.39,http://donegal.com.pl/2262-large_default/3502-08.jpg
1772,Make-up/Eyelid glitters,b'Silver glitter',Art. nr 3510,1.99,http://donegal.com.pl/2180-large_default/brokat-pyl-srebrny.jpg
1791,Make-up/Eyelid glitters,b'Lilac glitter',Art. nr 3524,1.99,http://donegal.com.pl/1161-large_default/brokat-pyl-rozowo-bezowy.jpg
1785,Make-up/Eyelid glitters,b'Burgundy glitter',Art. nr 3521,1.99,http://donegal.com.pl/1002-large_default/brokat-pyl-braz-ciemny.jpg
1779,Make-up/Eyelid glitters,b'Turquoise glitter',Art. nr 3517,1.99,http://donegal.com.pl/840-large_default/brokat-pyl-turkusowy-ciemny.jpg
1787,Make-up/Eyelid glitters,b'Light green glitter',Art. nr 3523,1.99,http://donegal.com.pl/322-large_default/brokat-pyl-zielony-jasny.jpg
1776,Make-up/Eyelid glitters,b'Green glitter',Art. nr 3514,1.99,http://donegal.com.pl/777-large_default/brokat-pyl-zielony.jpg
1786,Make-up/Eyelid glitters,b'Copper glitter',Art. nr 3522,1.99,http://donegal.com.pl/1736-large_default/brokat-pyl-miedziany.jpg
